,User_id,Rating
0,iL_CR-WQnveqrff9LecqAQ,5.0
1,BPkM2rnhMO68Le6Xs-7eVg,5.0
2,M6h9KYZHFaZYmVFopXq1mw,1.0
3,4_fkSSTFYEUXYPhtpbsAJw,5.0
4,ocv3RMJZFScAMHmudpqWpQ,5.0
5,SSvalZkiN3vqOSH76rbtPQ,5.0
6,9OyPEDQ0N6i0rWv9S-XjgQ,5.0
7,0sZ1BLZEocy6fl5Gyfs5hQ,5.0
8,T_ua0osjaKMUmyhwOZfFTw,5.0
9,FHfjAReTovbu0chLv-WGrQ,4.0
10,rhHvKILdT3wYowrO2IoOaw,3.0
11,LW-4t2psvoehLqkcVMRm_g,3.0
12,7b9aT8BhpWaFncPaPULLdw,4.0
13,QBgKo-REQCVZBQXT6of6Wg,4.0
14,tIRh_AmxJhUgzoHUBMPnlA,3.0
15,8fgiuFMuN5yfoALzts-K7w,2.0
16,cJVqHvDLN9g3GE4VfxDbZQ,3.0
17,ChfUouMqqio8Zin2wcdcBw,2.0
18,DhOSuTlWNnlzoF0QxstVZg,3.0
19,mZBwEijHmWFTyPktVBLEEw,1.0
20,TbjFvek74Qrg7qAuxZ9OPw,1.0
21,C9ijJDnBaaWNQD5tLcNBFQ,3.0
22,qrzo6epsAUau7pC-EWSPKA,1.0
23,S91kz40EtAo3AKUrDyEeDg,2.0
24,iZSFq5tha83JnZUFy9OrXg,3.0
25,dprkjTp7fdBmhErIM-BWwg,2.0
26,lhtScJ_Z2Oh3518hCt-_Zw,2.0
27,NOUfyJW-BAo_-Cbfo8edww,3.0
28,OJK6V3Ewlrhq04TVwZwohQ,5.0
29,lT6e_jRDzuq32vCQHc-I-A,1.0
30,mi6raRWQboj29_hGUo01jg,2.0
31,8rDoTAvdBGb4ur-zU34h-w,3.0
32,h2hvzv1XWyTqpUCxuQLw1Q,2.0
33,vivFH2_uIcOyqel-cHmxLA,3.0
34,3G2ZSgYnFA08zaj2-4FpgQ,3.0
35,FIHv-S6cb76mLNWLKho88w,1.0
36,cTHvB1avJo4JrrtBHID4Dw,1.0
37,ybkYMP-SjJB8Sn-bnbYluQ,3.0
38,V3qS1CKt9mYOrcBoo4srOQ,4.0
39,e6QRXwwzhebaLVX0JEztpg,2.0
40,hP7mKqLv57veQKiFWvA0Dw,3.0
41,viaNzWKM_Itfx8vMUWe_Bg,3.0
42,UzFpw5-JFekJ9nF8hI9ZSw,3.0
43,A-5D1nwCfDpoI5WvJ2Jh7A,2.0
44,LCiZaVSZwWhnr14D0XbDUQ,1.0
45,-1J99GAWYAbK7sbZcVEgxQ,4.0
46,1fbqafPJJ-kxQgrJqt9wPQ,3.0
47,Wxd-EKF2Z4RHZUmwQ6Eeew,3.0
48,pfWK0FcNG4UMhxl6jfR9fQ,2.0
49,_WBym43zxMEVxqf9aWuezQ,1.0
50,56Vd6f-R6ibUCxsV2sDc1A,3.0
51,Wbwv4at33RscYwinLrxA4A,2.0
52,WyyHc0i8g52gD2V7W0HBgA,4.0
53,VZUHcHoSYtn8mKq31hAM-g,1.0
54,9ko2ULuF1lObQ4uxdyRvYw,1.0
55,zoOkFWhXlYbQZT2w64XXjg,3.0
56,eR9pvZaGcfip946-re2-5g,3.0
57,xVndjy6wsAxGlOxPjBbZxw,2.0
58,ocv3RMJZFScAMHmudpqWpQ,2.0
59,ckQyi6cnOyLE1LWrfn-qww,4.0
60,xVndjy6wsAxGlOxPjBbZxw,2.0
61,yRtajw-lGYoOXdOdfwV9hQ,5.0
62,HiZGg29YdMJ7-GB4jepRIw,5.0
63,C7dE67z9UTCqcwxgyBcTJA,4.0
64,1WfaAbWC06QDnb59vqnEZw,4.0
65,e6QRXwwzhebaLVX0JEztpg,2.0
66,ln-8dqz9uu5TwjVg1vYESg,4.0
67,pois1eQIEqu2tJi36tzH4Q,3.0
68,L9N3kmIRwf0acuynQ-xxMA,4.0
69,_7DXxuBLD_1cAq92cgK_mg,5.0
70,vivFH2_uIcOyqel-cHmxLA,2.0
71,71RVNcSPEs8rxyxQllMGeQ,4.0
72,b2RS3hOiDLNzL_45R3UQvA,2.0
73,9pYZ0F5s4YRLqgo8vW6KjQ,2.0
74,js--iAkMV68RC-eQmKD7fw,1.0
75,CNdJaOdUjLIceVxhWcMNRA,4.0
76,lI-hR8ftiw88t8lLqvsaXQ,2.0
